iter	Passed	Remaining
190	2919	12366
191	2931	12334
192	2941	12299
193	2952	12266
194	2962	12228
195	2973	12195
196	2983	12163
197	2993	12126
198	3003	12088
199	3015	12061
200	3026	12031
201	3038	12004
202	3051	11979
203	3062	11950
204	3074	11922
205	3085	11891
206	3095	11859
207	3108	11835
208	3122	11816
209	3138	11808
210	3158	11812
211	3173	11794
212	3185	11771
213	3194	11733
214	3214	11738
215	3223	11699
216	3233	11668
217	3241	11628
218	3251	11596
219	3258	11554
220	3270	11527
221	3279	11493
222	3288	11459
223	3297	11423
224	3306	11387
225	3314	11352
226	3328	11334
227	3336	11297
228	3345	11262
229	3353	11226
230	3363	11198
231	3373	11166
232	3383	11137
233	3392	11106
234	3400	11068
235	3408	11032
236	3418	11004
237	3428	10977
238	3441	10958
239	3452	10933
240	3463	10909
241	3474	10883
242	3485	10859
243	3496	10833
244	3507	10808
245	3518	10785
246	3530	10763
247	3542	10741
248	3552	10714
249	3563	10690
250	3573	10663
251	3583	10636
252	3592	10608
253	3603	10582
254	3612	10554
255	3622	10529
256	3632	10500
257	3642	10474
258	3650	10444
259	3659	10415
260	3670	10393
261	3677	10360
262	3688	10335
263	3696	10306
264	3706	10279
265	3715	10252
266	3723	10221
267	3733	10197
268	3742	10171
269	3753	10147
270	3762	10122
271	3771	10094
272	3781	10071
273	3791	10046
274	3802	10024
275	3815	10007
276	3828	9993
277	3837	9967
278	3847	9943
279	3856	9916
280	3866	9892
281	3874	9864
282	3882	9837
283	3891	9810
284	3900	9784
285	3908	9757
286	3917	9731
287	3928	9711
288	3936	9685
289	3948	9666
290	3964	9659
291	3977	9644
292	3998	9648
293	4020	9654
294	4032	9637
295	4043	9617
296	4059	9608
297	4078	9607
298	4095	9601
299	4111	9593
300	4124	9577
301	4139	9567
302	4155	9559
303	4175	9559
304	4195	9561
305	4206	9539
306	4226	9541
307	4238	9522
308	4252	9509
309	4265	9493
310	4279	9479
311	4291	9463
312	4306	9452
313	4319	9437
314	4332	9422
315	4345	9406
316	4356	9386
317	4371	9376
318	4384	9360
319	4400	9350
320	4410	9330
321	4424	9315
322	4435	9297
323	4452	9290
324	4464	9271
325	4476	9255
326	4486	9234
327	4501	9222
328	4513	9204
329	4528	9193
330	4541	9178
331	4550	9155
332	4567	9149
333	4580	9134
334	4592	9117
335	4602	9096
336	4615	9080
337	4630	9069
338	4648	9063
339	4671	9068
340	4689	9062
341	4706	9055
342	4727	9055
343	4750	9059
344	4762	9041
345	4777	9029
346	4792	9017
347	4803	8999
348	4820	8991
349	4834	8978
350	4845	8959
351	4859	8945
352	4874	8934
353	4889	8922
354	4899	8902
355	4910	8883
356	4921	8863
357	4933	8847
358	4943	8826
359	4954	8807
360	4968	8793
361	4978	8774
362	4989	8755
363	5005	8745
364	5020	8733
365	5037	8727
366	5052	8714
367	5067	8702
368	5080	8686
369	5092	8671
370	5105	8656
371	5117	8639
372	5128	8620
373	5137	8598
374	5149	8581
375	5158	8561
376	5166	8537
377	5176	8517
378	5186	8497
379	5196	8478
380	5205	8457
381	5215	8436
382	5225	8417
383	5233	8395
384	5243	8376
385	5251	8353
386	5260	8332
387	5268	8310
388	5279	8292
389	5291	8275
390	5300	8255
391	5309	8234
392	5317	8212
393	5327	8194
394	5340	8179
395	5351	8161
396	5359	8140
397	5369	8122
398	5377	8100
399	5388	8082
400	5396	8060
401	5407	8043
402	5420	8030
403	5432	8014
404	5443	7997
405	5456	7983
406	5469	7969
407	5480	7952
408	5491	7935
409	5502	7918
410	5512	7899
411	5523	7883
412	5535	7868
413	5551	7858
414	5565	7845
415	5575	7827
416	5587	7811
417	5602	7801
418	5614	7785
419	5626	7770
420	5639	7756
421	5668	7764
422	5681	7750
423	5696	7738
424	5703	7717
425	5717	7703
426	5731	7691
427	5747	7681
428	5761	7668
429	5777	7658
430	5793	7648
431	5807	7636
432	5828	7632
433	5839	7615
434	5851	7599
435	5866	7588
436	5879	7574
437	5890	7558
438	5902	7542
439	5912	7524
440	5923	7508
441	5934	7491
442	5945	7475
443	5959	7463
444	5973	7449
445	5984	7433
446	5999	7421
447	6008	7403
448	6022	7390
449	6039	7381
450	6054	7369
451	6068	7357
452	6077	7338
453	6089	7323
454	6102	7309
455	6111	7290
456	6120	7271
457	6132	7257
458	6144	7242
459	6154	7224
460	6166	7209
461	6177	7194
462	6189	7179
463	6201	7163
464	6211	7146
465	6219	7127
466	6234	7115
467	6279	7137
468	6292	7124
469	6302	7106
470	6316	7094
471	6329	7080
472	6339	7063
473	6349	7046
474	6362	7032
475	6371	7014
476	6382	6998
477	6395	6983
478	6405	6967
479	6417	6952
480	6430	6938
481	6441	6922
482	6450	6904
483	6460	6887
484	6472	6873
485	6483	6856
486	6496	6843
487	6508	6828
488	6518	6811
489	6533	6799
490	6545	6784
491	6556	6769
492	6566	6753
493	6576	6736
494	6586	6719
495	6598	6704
496	6610	6690
497	6620	6674
498	6631	6657
499	6641	6641
500	6653	6627
501	6660	6607
502	6670	6590
503	6682	6576
504	6695	6563
505	6705	6546
506	6715	6530
507	6726	6514
508	6736	6498
509	6746	6481
510	6757	6466
511	6772	6454
512	6786	6442
513	6797	6426
514	6817	6420
515	6836	6412
516	6847	6396
517	6859	6382
518	6869	6366
519	6879	6350
520	6890	6334
521	6899	6317
522	6911	6303
523	6921	6287
524	6939	6278
525	6950	6263
526	6962	6249
527	6971	6232
528	6981	6216
529	6992	6201
530	7001	6184
531	7013	6170
532	7025	6155
533	7039	6143
534	7051	6128
535	7060	6112
536	7071	6097
537	7082	6081
538	7090	6064
539	7101	6049
540	7113	6035
541	7126	6021
542	7135	6005
543	7148	5992
544	7159	5977
545	7176	5967
546	7190	5954
547	7200	5938
548	7211	5924
549	7224	5910
550	7238	5898
551	7251	5884
552	7263	5871
553	7273	5855
554	7283	5840
555	7294	5825
556	7305	5810
557	7315	5794
558	7337	5788
559	7349	5774
560	7357	5757
561	7368	5742
562	7377	5726
563	7385	5709
564	7394	5693
565	7402	5676
566	7414	5662
567	7421	5644
568	7432	5630
569	7442	5614
570	7450	5597
571	7460	5582
572	7468	5565
573	7477	5549
574	7486	5533
575	7495	5517
576	7503	5501
577	7513	5485
578	7522	5469
579	7530	5453
580	7539	5436
581	7547	5420
582	7554	5403
583	7562	5387
584	7572	5371
585	7583	5357
586	7592	5342
587	7601	5325
588	7609	5309
589	7618	5294
590	7626	5278
591	7637	5263
592	7645	5247
593	7653	5231
594	7661	5214
595	7669	5198
596	7677	5182
597	7686	5167
598	7695	5151
599	7703	5135
600	7712	5120
601	7726	5107
602	7737	5094
603	7748	5080
604	7760	5066
605	7770	5051
606	7784	5040
607	7796	5026
608	7806	5012
609	7817	4998
610	7829	4984
611	7838	4969
612	7848	4955
613	7858	4940
614	7869	4926
615	7879	4912
616	7890	4897
617	7901	4883
618	7912	4870
619	7923	4856
620	7936	4843
621	7947	4829
622	7958	4815
623	7969	4802
624	7980	4788
625	7991	4774
626	8000	4759
627	8010	4745
628	8021	4731
629	8030	4716
630	8040	4702
631	8052	4688
632	8062	4674
633	8074	4661
634	8085	4647
635	8097	4634
636	8108	4620
637	8119	4607
638	8130	4593
639	8139	4578
640	8149	4564
641	8159	4549
642	8169	4535
643	8180	4521
644	8189	4507
645	8199	4493
646	8209	4479
647	8221	4465
648	8232	4452
649	8242	4438
650	8254	4425
651	8267	4412
652	8276	4397
653	8286	4384
654	8296	4369
655	8307	4356
656	8318	4343
657	8330	4329
658	8339	4315
659	8351	4302
660	8362	4288
661	8372	4274
662	8384	4261
663	8394	4248
664	8404	4233
665	8416	4221
666	8427	4207
667	8441	4195
668	8453	4182
669	8466	4170
670	8475	4155
671	8485	4141
672	8495	4128
673	8507	4114
674	8517	4100
675	8530	4088
676	8541	4075
677	8554	4062
678	8565	4049
679	8576	4035
680	8587	4022
681	8597	4008
682	8609	3995
683	8619	3981
684	8627	3967
685	8638	3954
686	8647	3939
687	8655	3925
688	8666	3911
689	8677	3898
690	8688	3885
691	8699	3871
692	8710	3858
693	8722	3846
694	8732	3832
695	8743	3819
696	8757	3806
697	8767	3793
698	8778	3779
699	8787	3766
700	8798	3752
701	8809	3739
702	8820	3726
703	8831	3713
704	8840	3699
705	8851	3686
706	8863	3673
707	8873	3659
708	8883	3646
709	8895	3633
710	8907	3620
711	8915	3606
712	8926	3593
713	8936	3579
714	8947	3566
715	8956	3552
716	8964	3538
717	8974	3524
718	8982	3510
719	8993	3497
720	9003	3483
721	9012	3470
722	9020	3456
723	9028	3441
724	9037	3428
725	9048	3414
726	9058	3401
727	9068	3388
728	9076	3374
729	9085	3360
730	9094	3346
731	9103	3332
732	9113	3319
733	9121	3305
734	9128	3291
735	9137	3277
736	9146	3263
737	9155	3250
738	9164	3236
739	9172	3222
740	9181	3209
741	9190	3195
742	9199	3181
743	9207	3168
744	9217	3154
745	9228	3142
746	9238	3128
747	9248	3115
748	9257	3102
749	9268	3089
750	9283	3077
751	9292	3064
752	9302	3051
753	9314	3038
754	9327	3026
755	9354	3019
756	9373	3008
757	9394	2999
758	9408	2987
759	9428	2977
760	9439	2964
761	9459	2954
762	9481	2945
763	9509	2937
764	9524	2925
765	9541	2914
766	9559	2904
767	9576	2892
768	9587	2879
769	9597	2866
770	9608	2853
771	9622	2841
772	9635	2829
773	9650	2817
774	9660	2804
775	9675	2792
776	9686	2779
777	9694	2766
778	9705	2753
779	9715	2740
780	9727	2727
781	9736	2714
782	9746	2701
783	9758	2688
784	9773	2676
785	9782	2663
786	9791	2650
787	9801	2637
788	9838	2631
789	9849	2618
790	9860	2605
791	9872	2592
792	9883	2579
793	9893	2566
794	9904	2553
795	9924	2543
796	9944	2532
797	9965	2522
798	9976	2509
799	9987	2496
800	9998	2483
801	10008	2471
802	10019	2458
803	10028	2444
804	10039	2431
805	10048	2418
806	10058	2405
807	10069	2392
808	10078	2379
809	10087	2366
810	10098	2353
811	10109	2340
812	10118	2327
813	10128	2314
814	10137	2301
815	10147	2288
816	10155	2274
817	10165	2261
818	10173	2248
819	10182	2235
820	10206	2225
821	10216	2212
822	10225	2199
823	10239	2187
824	10249	2174
825	10259	2161
826	10274	2149
827	10284	2136
828	10294	2123
829	10306	2110
830	10316	2098
831	10325	2084
832	10335	2072
833	10344	2058
834	10355	2046
835	10364	2033
836	10375	2020
837	10386	2007
838	10396	1995
839	10409	1982
840	10417	1969
841	10428	1956
842	10438	1944
843	10449	1931
844	10458	1918
845	10468	1905
846	10479	1892
847	10490	1880
848	10502	1867
849	10513	1855
850	10524	1842
851	10535	1830
852	10543	1816
853	10554	1804
854	10566	1791
855	10576	1779
856	10587	1766
857	10599	1754
858	10609	1741
859	10624	1729
860	10634	1716
861	10645	1704
862	10658	1692
863	10672	1679
864	10684	1667
865	10696	1655
866	10708	1642
867	10719	1630
868	10730	1617
869	10742	1605
870	10753	1592
871	10765	1580
872	10776	1567
873	10785	1554
874	10796	1542
875	10808	1529
876	10819	1517
877	10830	1504
878	10842	1492
879	10853	1480
880	10866	1467
881	10878	1455
882	10889	1442
883	10901	1430
884	10911	1417
885	10938	1407
886	10962	1396
887	10977	1384
888	10994	1372
889	11018	1361
890	11032	1349
891	11048	1337
892	11064	1325
893	11075	1313
894	11085	1300
895	11098	1288
896	11109	1275
897	11136	1264
898	11153	1253
899	11166	1240
900	11179	1228
901	11190	1215
902	11203	1203
903	11219	1191
904	11230	1178
905	11243	1166
906	11253	1153
907	11263	1141
908	11271	1128
909	11282	1115
910	11298	1103
911	11310	1091
912	11319	1078
913	11326	1065
914	11335	1053
915	11343	1040
916	11359	1028
917	11376	1016
918	11387	1003
919	11399	991
920	11410	978
921	11421	966
922	11434	953
923	11447	941
924	11458	929
925	11469	916
926	11484	904
927	11498	892
928	11508	879
929	11518	866
930	11531	854
931	11541	842
932	11554	829
933	11578	818
934	11592	805
935	11607	793
936	11616	781
937	11631	768
938	11643	756
939	11654	743
940	11676	732
941	11688	719
942	11698	707
943	11711	694
944	11724	682
945	11734	669
946	11745	657
947	11759	645
948	11774	632
949	11787	620
950	11796	607
951	11809	595
952	11822	583
953	11833	570
954	11846	558
955	11858	545
956	11871	533
957	11883	520
958	11892	508
959	11905	496
960	11917	483
961	11929	471
962	11939	458
963	11957	446
964	11968	434
965	11980	421
966	11989	409
967	12002	396
968	12013	384
969	12037	372
970	12046	359
971	12057	347
972	12080	335
973	12091	322
974	12101	310
975	12125	298
976	12139	285
977	12155	273
978	12170	261
979	12182	248
980	12194	236
981	12208	223
982	12222	211
983	12246	199
984	12256	186
985	12267	174
986	12278	161
987	12289	149
988	12301	136
989	12316	124
990	12329	111
991	12339	99
992	12351	87
993	12365	74
994	12386	62
995	12398	49
996	12410	37
997	12421	24
998	12429	12
999	12442	0
