iter	Logloss
0	0.6742051449
1	0.6532293845
2	0.6340834874
3	0.6143143081
4	0.5972059101
5	0.57773366
6	0.5615656829
7	0.5473994764
8	0.5333008604
9	0.5237950177
10	0.5125972681
11	0.4993695499
12	0.4883889123
13	0.4778314639
14	0.4678511899
15	0.4594768222
16	0.4514467086
17	0.4441090114
18	0.4377083738
19	0.4310323702
20	0.4242325847
21	0.416887883
22	0.4107406545
23	0.4039962667
24	0.3985990704
25	0.3934282569
26	0.3886914042
27	0.383540017
28	0.3802819799
29	0.3760665182
30	0.371145966
31	0.3669090965
32	0.3624083772
33	0.3598241055
34	0.3551546118
35	0.3516488937
36	0.3480227511
37	0.3442115787
38	0.3407322653
39	0.3376321396
40	0.3353346924
41	0.3321691358
42	0.3292406154
43	0.3270794255
44	0.3246202503
45	0.3217316276
46	0.3187137952
47	0.3163969031
48	0.3141703456
49	0.3119965001
50	0.3100129974
51	0.3075003165
52	0.305276895
53	0.303728182
54	0.3018752233
55	0.3002542957
56	0.2983007041
57	0.2967640175
58	0.2954417308
59	0.2944634741
60	0.2931150201
61	0.2914781886
62	0.2900811918
63	0.288677094
64	0.2871047807
65	0.2853752945
66	0.2840606607
67	0.2828222619
68	0.2816486435
69	0.2805143684
70	0.2791820618
71	0.2776670786
72	0.2766149626
73	0.2751850757
74	0.2741587
75	0.2730632593
76	0.2718798371
77	0.2710765263
78	0.2702115942
79	0.2691456143
80	0.2682984411
81	0.2674401411
82	0.2666994136
83	0.2657541021
84	0.2648759348
85	0.2641858683
86	0.2633335449
87	0.2620134401
88	0.2610539876
89	0.2602435559
90	0.2591819268
91	0.2584818501
92	0.2575153144
93	0.2566440866
94	0.256033191
95	0.2553770865
96	0.2545551671
97	0.2533079337
98	0.2525866983
99	0.2516218109
100	0.2507146958
101	0.250007413
102	0.2495228518
103	0.2489716766
104	0.2481408264
105	0.2469524372
106	0.2462167006
107	0.2454321352
108	0.244780603
109	0.2443210195
110	0.2438614884
111	0.2430726073
112	0.2424826931
113	0.2416659442
114	0.2411682123
115	0.2405254483
116	0.2399223412
117	0.239074785
118	0.2385432081
119	0.2380843434
120	0.2370364148
121	0.2362513227
122	0.235860107
123	0.2354208592
124	0.2344761116
125	0.233943785
126	0.233589542
127	0.2330113968
128	0.2324718229
129	0.2321238396
130	0.2317327093
131	0.2312129644
132	0.230761837
133	0.2303094171
